███████▉ | 10693/12000 [1:08:40<08:51,  2.46it/s, train/grad_norm=0.225, train/loss=0.00128, train/lr=8.86e-6]
Steps:  90%|████████▉ | 10746/12000 [1:09:00<07:23,  2.83it/s, train/grad_norm=0.129, train/loss=0.0232, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10746/12000 [1:09:00<07:23,  2.83it/s, train/grad_norm=0.0802, train/loss=0.0025, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10747/12000 [1:09:01<08:33,  2.44it/s, train/grad_norm=0.0802, train/loss=0.0025, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10747/12000 [1:09:01<08:33,  2.44it/s, train/grad_norm=0.101, train/loss=0.00358, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10748/12000 [1:09:01<07:49,  2.66it/s, train/grad_norm=0.101, train/loss=0.00358, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10748/12000 [1:09:01<07:49,  2.66it/s, train/grad_norm=0.0836, train/loss=0.0047, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10749/12000 [1:09:01<07:19,  2.84it/s, train/grad_norm=0.0836, train/loss=0.0047, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10749/12000 [1:09:01<07:19,  2.84it/s, train/grad_norm=0.116, train/loss=0.0235, train/lr=8.85e-6] 
Steps:  90%|████████▉ | 10750/12000 [1:09:02<08:28,  2.46it/s, train/grad_norm=0.116, train/loss=0.0235, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10750/12000 [1:09:02<08:28,  2.46it/s, train/grad_norm=0.0899, train/loss=0.00678, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10751/12000 [1:09:02<07:45,  2.68it/s, train/grad_norm=0.0899, train/loss=0.00678, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10751/12000 [1:09:02<07:45,  2.68it/s, train/grad_norm=0.0743, train/loss=0.00446, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10752/12000 [1:09:02<07:19,  2.84it/s, train/grad_norm=0.0743, train/loss=0.00446, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10752/12000 [1:09:02<07:19,  2.84it/s, train/grad_norm=0.12, train/loss=0.00165, train/lr=8.85e-6]  
Steps:  90%|████████▉ | 10753/12000 [1:09:03<08:36,  2.41it/s, train/grad_norm=0.12, train/loss=0.00165, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10753/12000 [1:09:03<08:36,  2.41it/s, train/grad_norm=0.0988, train/loss=0.0154, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10754/12000 [1:09:03<07:51,  2.64it/s, train/grad_norm=0.0988, train/loss=0.0154, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10754/12000 [1:09:03<07:51,  2.64it/s, train/grad_norm=0.0574, train/loss=0.00188, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10755/12000 [1:09:03<07:29,  2.77it/s, train/grad_norm=0.0574, train/loss=0.00188, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10755/12000 [1:09:03<07:29,  2.77it/s, train/grad_norm=0.0757, train/loss=0.000296, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10756/12000 [1:09:04<08:39,  2.39it/s, train/grad_norm=0.0757, train/loss=0.000296, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10756/12000 [1:09:04<08:39,  2.39it/s, train/grad_norm=0.0938, train/loss=0.0124, train/lr=8.84e-6]  
Steps:  90%|████████▉ | 10757/12000 [1:09:04<07:54,  2.62it/s, train/grad_norm=0.0938, train/loss=0.0124, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10757/12000 [1:09:04<07:54,  2.62it/s, train/grad_norm=0.0647, train/loss=0.00301, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10758/12000 [1:09:05<07:33,  2.74it/s, train/grad_norm=0.0647, train/loss=0.00301, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10758/12000 [1:09:05<07:33,  2.74it/s, train/grad_norm=0.0867, train/loss=0.00132, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10759/12000 [1:09:05<08:40,  2.39it/s, train/grad_norm=0.0867, train/loss=0.00132, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10759/12000 [1:09:05<08:40,  2.39it/s, train/grad_norm=0.0789, train/loss=0.00641, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10760/12000 [1:09:05<07:54,  2.61it/s, train/grad_norm=0.0789, train/loss=0.00641, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10760/12000 [1:09:05<07:54,  2.61it/s, train/grad_norm=0.101, train/loss=0.00244, train/lr=8.84e-6] 
Steps:  90%|████████▉ | 10761/12000 [1:09:06<07:24,  2.78it/s, train/grad_norm=0.101, train/loss=0.00244, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10761/12000 [1:09:06<07:24,  2.78it/s, train/grad_norm=0.0787, train/loss=0.000566, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10762/12000 [1:09:06<08:29,  2.43it/s, train/grad_norm=0.0787, train/loss=0.000566, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10762/12000 [1:09:06<08:29,  2.43it/s, train/grad_norm=0.0949, train/loss=0.0159, train/lr=8.84e-6]  
Steps:  90%|████████▉ | 10763/12000 [1:09:07<07:46,  2.65it/s, train/grad_norm=0.0949, train/loss=0.0159, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10763/12000 [1:09:07<07:46,  2.65it/s, train/grad_norm=0.0741, train/loss=0.00229, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10764/12000 [1:09:07<07:18,  2.82it/s, train/grad_norm=0.0741, train/loss=0.00229, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10764/12000 [1:09:07<07:18,  2.82it/s, train/grad_norm=0.0787, train/loss=0.000351, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10765/12000 [1:09:07<08:26,  2.44it/s, train/grad_norm=0.0787, train/loss=0.000351, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10765/12000 [1:09:07<08:26,  2.44it/s, train/grad_norm=0.073, train/loss=0.00253, train/lr=8.84e-6]  
Steps:  90%|████████▉ | 10766/12000 [1:09:08<07:45,  2.65it/s, train/grad_norm=0.073, train/loss=0.00253, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10766/12000 [1:09:08<07:45,  2.65it/s, train/grad_norm=0.0891, train/loss=0.00515, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10767/12000 [1:09:08<07:24,  2.78it/s, train/grad_norm=0.0891, train/loss=0.00515, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10767/12000 [1:09:08<07:24,  2.78it/s, train/grad_norm=0.0569, train/loss=0.00108, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10768/12000 [1:09:09<08:25,  2.44it/s, train/grad_norm=0.0569, train/loss=0.00108, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10768/12000 [1:09:09<08:25,  2.44it/s, train/grad_norm=0.124, train/loss=0.017, train/lr=8.84e-6]   
Steps:  90%|████████▉ | 10769/12000 [1:09:09<07:42,  2.66it/s, train/grad_norm=0.124, train/loss=0.017, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10769/12000 [1:09:09<07:42,  2.66it/s, train/grad_norm=0.102, train/loss=0.00458, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10770/12000 [1:09:09<07:19,  2.80it/s, train/grad_norm=0.102, train/loss=0.00458, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10770/12000 [1:09:09<07:19,  2.80it/s, train/grad_norm=0.0682, train/loss=0.001, train/lr=8.84e-6] 
Steps:  90%|████████▉ | 10771/12000 [1:09:10<08:22,  2.45it/s, train/grad_norm=0.0682, train/loss=0.001, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10771/12000 [1:09:10<08:22,  2.45it/s, train/grad_norm=0.0697, train/loss=0.00278, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10772/12000 [1:09:10<07:40,  2.67it/s, train/grad_norm=0.0697, train/loss=0.00278, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10772/12000 [1:09:10<07:40,  2.67it/s, train/grad_norm=0.12, train/loss=0.0245, train/lr=8.84e-6]   
Steps:  90%|████████▉ | 10773/12000 [1:09:10<07:09,  2.86it/s, train/grad_norm=0.12, train/loss=0.0245, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10773/12000 [1:09:10<07:09,  2.86it/s, train/grad_norm=0.0625, train/loss=0.00738, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10774/12000 [1:09:11<08:18,  2.46it/s, train/grad_norm=0.0625, train/loss=0.00738, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10774/12000 [1:09:11<08:18,  2.46it/s, train/grad_norm=0.144, train/loss=0.00212, train/lr=8.84e-6] 
Steps:  90%|████████▉ | 10775/12000 [1:09:11<07:36,  2.68it/s, train/grad_norm=0.144, train/loss=0.00212, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10775/12000 [1:09:11<07:36,  2.68it/s, train/grad_norm=0.114, train/loss=0.018, train/lr=8.84e-6]  
Steps:  90%|████████▉ | 10776/12000 [1:09:11<07:09,  2.85it/s, train/grad_norm=0.114, train/loss=0.018, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10776/12000 [1:09:11<07:09,  2.85it/s, train/grad_norm=0.165, train/loss=0.000392, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10777/12000 [1:09:12<08:15,  2.47it/s, train/grad_norm=0.165, train/loss=0.000392, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10777/12000 [1:09:12<08:15,  2.47it/s, train/grad_norm=0.164, train/loss=0.00303, train/lr=8.84e-6] 
Steps:  90%|████████▉ | 10778/12000 [1:09:12<07:35,  2.68it/s, train/grad_norm=0.164, train/loss=0.00303, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10778/12000 [1:09:12<07:35,  2.68it/s, train/grad_norm=0.092, train/loss=0.00667, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10779/12000 [1:09:13<07:13,  2.81it/s, train/grad_norm=0.092, train/loss=0.00667, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10779/12000 [1:09:13<07:13,  2.81it/s, train/grad_norm=0.156, train/loss=0.0227, train/lr=8.84e-6] 
Steps:  90%|████████▉ | 10780/12000 [1:09:13<08:35,  2.37it/s, train/grad_norm=0.156, train/loss=0.0227, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10780/12000 [1:09:13<08:35,  2.37it/s, train/grad_norm=0.111, train/loss=0.000444, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10781/12000 [1:09:13<07:47,  2.61it/s, train/grad_norm=0.111, train/loss=0.000444, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10781/12000 [1:09:13<07:47,  2.61it/s, train/grad_norm=0.168, train/loss=0.00121, train/lr=8.84e-6] 
Steps:  90%|████████▉ | 10782/12000 [1:09:14<07:23,  2.75it/s, train/grad_norm=0.168, train/loss=0.00121, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10782/12000 [1:09:14<07:23,  2.75it/s, train/grad_norm=0.114, train/loss=0.00773, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10783/12000 [1:09:14<08:26,  2.40it/s, train/grad_norm=0.114, train/loss=0.00773, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10783/12000 [1:09:14<08:26,  2.40it/s, train/grad_norm=0.196, train/loss=0.0279, train/lr=8.84e-6] 
Steps:  90%|████████▉ | 10784/12000 [1:09:15<07:41,  2.64it/s, train/grad_norm=0.196, train/loss=0.0279, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10784/12000 [1:09:15<07:41,  2.64it/s, train/grad_norm=0.117, train/loss=0.00135, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10785/12000 [1:09:15<07:07,  2.84it/s, train/grad_norm=0.117, train/loss=0.00135, train/lr=8.84e-6]
Steps:  90%|████████▉ | 10785/12000 [1:09:15<07:07,  2.84it/s, train/grad_norm=0.284, train/loss=0.00145, train/lr=8.84e-6]
